composer_name,composer_name-href,song_name,song_name-href,title,type,instrumentation,key,collection,rcm_grade,abrsm_grade,henle_grade
"Brahms, Johannes","http://www.classicalmusicdb.com/composers/view/9","» Verzagen (""Ich sitz am Strande der rauschenden See"") in F♯ Minor, Op. 72, No. 4","http://www.classicalmusicdb.com/musics/view/4330","Johannes Brahms:Verzagen (""Ich sitz am Strande der rauschenden See"") in F♯ Minor, Op. 72, No. 4from Collection: 5 Songs, Op. 72","Song","Voice & Piano","F♯ Minor","5 Songs, Op. 72","N/A","N/A","N/A"
"Mercadante, Saverio","http://www.classicalmusicdb.com/composers/view/540","» Flute Concerto in E Minor, Op. 57","http://www.classicalmusicdb.com/musics/view/6294","Saverio Mercadante:Flute Concerto in E Minor, Op. 57","Concerto","Flute & Orchestra","E Minor","null","Grade 11 (ARCT Performance) Flute
 List A: Concertos","N/A","N/A"
"Schumann, Robert","http://www.classicalmusicdb.com/composers/view/13","» Ein Choral (Chorale) in G Major, Op. 68, No. 4","http://www.classicalmusicdb.com/musics/view/1361","Robert Schumann:Ein Choral (Chorale) in G Major, Op. 68, No. 4from Collection: Album für die Jugend (Album for the Young), Op. 68","null","- Piano Solo","G Major","Album für die Jugend (Album for the Young), Op. 68","N/A","N/A","Level 2/3 (easy) Piano"
"Mozart, Wolfgang Amadeus","http://www.classicalmusicdb.com/composers/view/7","» Symphony  (""No.1"" or ""Odense"") in A Minor, KV  16a, K.  Anh.220","http://www.classicalmusicdb.com/musics/view/3317","Wolfgang Amadeus Mozart:Symphony  (""No.1"" or ""Odense"") in A Minor, KV  16a, K.  Anh.220","Symphony","Orchestra","A Minor","null","N/A","N/A","N/A"
"Crosby, Anne","http://www.classicalmusicdb.com/composers/view/432","» Starfish at Night","http://www.classicalmusicdb.com/musics/view/5723","Anne Crosby:Starfish at Nightfrom Collection: Freddie the Frog","null","- Piano Solo","null","Freddie the Frog","Preparatory B Piano
 Repertoire","N/A","N/A"
"Schumann, Robert","http://www.classicalmusicdb.com/composers/view/13","» Intermezzo, Op. 4, No. 3, Allegro marcato","http://www.classicalmusicdb.com/musics/view/2335","Robert Schumann:Intermezzo, Op. 4, No. 3, Allegro marcatofrom Collection: Intermezzi, Op. 4","Intermezzo","- Piano Solo","null","Intermezzi, Op. 4","N/A","N/A","Level 5 (medium) Piano"
"Moscheles, Ignaz","http://www.classicalmusicdb.com/composers/view/177","» Étude, Op. 95, No. 11 (Un rêve (A Dream))","http://www.classicalmusicdb.com/musics/view/1059","Ignaz Moscheles:Étude, Op. 95, No. 11 (Un rêve (A Dream))from Collection: 12 Charakteristiche Studien (12 Etudes), Op. 95","Étude","- Piano Solo","null","12 Charakteristiche Studien (12 Etudes), Op. 95","Grade 11 (ARCT Performance) Piano
 Concert Etudes","N/A","N/A"
"Perle, George","http://www.classicalmusicdb.com/composers/view/498","» 6 Études","http://www.classicalmusicdb.com/musics/view/6120","George Perle:6 Études","Étude","- Piano Solo","null","null","Grade 12 (LRCM) Piano
 20th- and 21st-century Repertoire","N/A","N/A"
"Ethridge, Jean","http://www.classicalmusicdb.com/composers/view/361","» Reverie","http://www.classicalmusicdb.com/musics/view/5117","Jean Ethridge:Reverie","null","null","null","null","Grade 5 Violin
 List C: Concert Repertoire","N/A","N/A"
"Liszt, Franz","http://www.classicalmusicdb.com/composers/view/3","» Klavierstücke, S.  192, No. 2","http://www.classicalmusicdb.com/musics/view/2001","Franz Liszt:Klavierstücke, S.  192, No. 2from Collection: 5 Klavierstücke, S. 192","null","- Piano Solo","null","5 Klavierstücke, S. 192","Grade 10 Piano
 List C: Romantic Repertoire","N/A","N/A"
